type,source,target,volume,pipette,tipType,liquidClass,sameTips,reuseTips,ejectTipsWithLiquid,bottomTouch,liquidLevelDetection,prewetEnabled,prewetReps,prewetVolume,prewetRelative,prewetHeights,mixingEnabled,mixingReps,mixingVolume,mixingRelative,mixingHeights,stepRowSource,stepColSource,stepRowTarget,stepColTarget,offsetRowSource,offsetColSource,offsetRowTarget,offsetColTarget,excessDispense,excessVol,aspirationOffsetX,aspirationOffsetY,dispenseOffsetX,dispenseOffsetY,aspirationDepthRelative,aspirationDepthValue,dispenseDepthRelative,dispenseDepthValue,note,timedBreak,timeEvent,pauseTimeMinutes,deviceType,devicePos,action,deviceArgName,deviceArgValue
dispense,3:A1,11:A1,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A1,11:A2,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A1,11:A3,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A2,11:A4,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A2,11:A5,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A2,11:A6,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A3,11:A7,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A3,11:A8,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A3,11:A9,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A4,11:A10,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A4,11:A11,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,3:A4,11:A12,300.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
